randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
1,1,1,0.693676422,0.30088712,0.003301825,0.002134633,0,0,0,0
2,1,2,0.555306088,0.349842676,0.020268961,0.074582275,0,0,0,0
3,1,3,0.517981607,0.356880167,0.023465957,0.101672269,0,0,0,0
4,1,4,0.540349977,0.195510709,0.044611701,0.219527613,0,0,0,0
5,1,5,0.349415719,0.053204412,0.074236228,0.523143641,0,0,0,0
6,1,6,0.323153353,0.203410363,0.031977782,0.441458502,0,0,0,0
7,1,7,0.287777256,0.319459706,0.009677549,0.383085489,0,0,0,0
8,1,8,0.21720416,0.232733145,0.002073704,0.547988991,0,0,0,0
9,1,9,0.176431304,0.255019896,0.001439758,0.567109042,0,0,0,0
10,1,10,0.252506844,0.363199094,0.003100459,0.381193602,0,0,0,0
11,1,11,0.467545811,0.109169859,0.009199169,0.414085161,0,0,0,0
12,1,12,0.580450798,0.206217326,0.020309198,0.193022678,0,0,0,0
13,1,13,0.577774948,0.1167069,0.03748276,0.268035392,0,0,0,0
14,1,14,0.631795403,0.203992591,0.021700477,0.142511529,0,0,0,0
15,1,15,0.613772787,0.165778044,0.018529134,0.201920035,0,0,0,0
16,1,16,0.595058044,0.188333898,0.015080025,0.201528033,0,0,0,0
17,1,17,0.569921437,0.16028154,0.012800573,0.25699645,0,0,0,0
18,1,18,0.571451554,0.168459256,0.009418767,0.250670423,0,0,0,0
19,1,19,0.572138864,0.131134646,0.011560816,0.285165674,0,0,0,0
20,1,20,0.549657263,0.155724138,0.026538843,0.268079756,0,0,0,0
21,1,21,0.501068808,0.212352044,0.074671012,0.211908136,0,0,0,0
22,1,22,0.435055522,0.193414433,0.115238839,0.256291205,0,0,0,0
23,1,23,0.385422227,0.107964833,0.223726281,0.282886659,0,0,0,0
24,1,24,0.45378322,0.059554277,0.189204637,0.297457866,0,0,0,0
25,1,25,0.487959459,0.068348367,0.156230343,0.287461831,0,0,0,0
26,1,26,0.491677907,0.086860661,0.122915698,0.298545734,0,0,0,0
27,1,27,0.538160245,0.063869283,0.114074667,0.283895805,0,0,0,0
28,1,28,0.562255594,0.052768529,0.127520765,0.257455112,0,0,0,0
29,1,29,0.593290379,0.056672019,0.114293796,0.235743806,0,0,0,0
30,1,30,0.600570233,0.068835918,0.100626204,0.229967645,0,0,0,0
31,1,31,0.645505416,0.059039573,0.095378594,0.200076417,0,0,0,0
32,1,32,0.606992724,0.056964734,0.099388495,0.236654047,0,0,0,0
33,1,33,0.479791155,0.231522663,0.068926536,0.219759646,0,0,0,0
34,1,34,0.66062091,0.125921863,0.118210226,0.095247001,0,0,0,0
35,1,35,0.870917711,0.02779774,0.0232198,0.078064749,0,0,0,0
36,1,36,0.920935586,0.015303687,0.009779824,0.053980903,0,0,0,0
37,1,37,0.926926808,0.026210479,0.005990946,0.040871767,0,0,0,0
38,1,38,0.930763554,0.033927541,0.003932209,0.031376696,0,0,0,0
39,1,39,0.935419629,0.029023351,0.005575764,0.029981256,0,0,0,0
40,1,40,0.925587186,0.03283556,0.008870054,0.0327072,0,0,0,0
41,1,41,0.917103874,0.028573428,0.012717408,0.04160529,0,0,0,0
42,1,42,0.893521478,0.033456343,0.018900318,0.054121861,0,0,0,0
43,1,43,0.874915773,0.033476459,0.024403775,0.067203993,0,0,0,0
44,1,44,0.867331412,0.032272184,0.028540483,0.071855921,0,0,0,0
45,1,45,0.84299401,0.032471148,0.039475052,0.08505979,0,0,0,0
46,1,46,0.84480112,0.029594847,0.04185169,0.083752343,0,0,0,0
47,1,47,0.840066031,0.031105688,0.039275828,0.089552453,0,0,0,0
48,1,48,0.847052069,0.014517068,0.042962159,0.095468704,0,0,0,0
49,1,49,0.844030938,0.015451624,0.045000441,0.095516997,0,0,0,0
50,1,50,0.809209013,0.045332196,0.044225171,0.10123362,0,0,0,0
51,1,51,0.831433863,0.030401069,0.035953902,0.102211166,0,0,0,0
52,1,52,0.83578805,0.022813008,0.035595151,0.105803791,0,0,0,0
53,1,53,0.846554757,0.032321316,0.026633571,0.094490356,0,0,0,0
54,1,54,0.844546213,0.035314425,0.028551931,0.091587431,0,0,0,0
55,1,55,0.845854144,0.040240661,0.024981378,0.088923817,0,0,0,0
56,1,56,0.846495328,0.041195086,0.02585344,0.086456146,0,0,0,0
57,1,57,0.858340682,0.036056876,0.023064824,0.082537618,0,0,0,0
58,1,58,0.855903667,0.037885179,0.021121875,0.085089279,0,0,0,0
59,1,59,0.846504727,0.050958144,0.019013919,0.08352321,0,0,0,0
60,1,60,0.81995186,0.087649983,0.00900946,0.083388697,0,0,0,0
61,1,61,0.787430085,0.11861775,0.003483844,0.090468321,0,0,0,0
62,1,62,0.761083892,0.13612738,0.00017663,0.102612098,0,0,0,0
63,1,63,0.768114072,0.120950037,1.99E-05,0.110915991,0,0,0,0
64,1,64,0.743557745,0.137407987,0,0.119034268,0,0,0,0
65,1,65,0.761510356,0.125041127,0,0.113448517,0,0,0,0
66,1,66,0.76622276,0.110753261,0,0.123023979,0,0,0,0
67,1,67,0.755557925,0.121265107,0,0.123176968,0,0,0,0
68,1,68,0.756514654,0.12087983,0,0.122605516,0,0,0,0
69,1,69,0.774584517,0.10305698,0,0.122358503,0,0,0,0
70,1,70,0.778008482,0.099835935,0,0.122155583,0,0,0,0
71,1,71,0.785998907,0.102620001,0,0.111381092,0,0,0,0
72,1,72,0.799530694,0.094286767,0,0.106168339,0,0,0,1.42E-05
73,1,73,0.807907271,0.090320147,0,0.101560968,0,0,0,0.000211614
74,1,74,0.80228386,0.09723308,0,0.099512967,0,0,0,0.000970093
75,1,75,0.808116799,0.09302025,0,0.092296287,0,0,0,0.006566664
76,1,76,0.795684461,0.099649344,0,0.085373266,0,0,0,0.019292929
77,1,77,0.750397593,0.087593724,0,0.072880649,0,0,0,0.089128034
78,1,78,0.613060632,0.149663635,0,0.066030372,0,0,0,0.171245361
79,1,79,0.599663862,0.114340993,1.16E-06,0.064437825,0,0,0,0.221556161
80,1,80,0.750740444,0.112882714,0.000321904,0.067357309,0,0,0,0.068697629
81,1,81,0.661284599,0.067288815,0.000305107,0.074759832,0,0,0,0.196361647
82,1,82,0.627882713,0.128518483,0.001176748,0.08191049,0,0,0,0.160511566
83,1,83,0.65767416,0.067829361,0.002889609,0.087416423,0,0,0,0.184190447
84,1,84,0.687457825,0.047944074,0.006300448,0.143287128,0,0,0,0.115010525
85,1,85,0.649695074,0.027428694,0.006271958,0.164813586,0,0,0,0.151790688
86,1,86,0.657181403,0.01804428,0.008616152,0.168579311,0,0,0,0.147578854
87,1,87,0.643084901,0.019736242,0.011026337,0.184858486,0,0,0,0.141294034
88,1,88,0.651104176,0.014807013,0.012919057,0.180246621,0,0,0,0.140923133
