randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
1,1,1,0.532415066101436,0.456200681239063,0.001847759891641,0.00953649276786,0,0,0,0
1,1,2,0.625682603694062,0.299952362216337,0.029968198404288,0.044396835685314,0,0,0,0
1,1,3,0.449414969200008,0.322961661730062,0.046585127685304,0.180605683784503,0,0,0,0.000432557600123
1,1,4,0.39940122325706,0.414852719092454,0.039480700118898,0.140627738950004,0,0,0,0.005637618581584
1,1,5,0.268104246104981,0.278576780380945,0.143667820511187,0.299450269323406,0,0,0,0.010200883679481
1,1,6,0.389975463399491,0.169805518277976,0.094358162615335,0.310581512200588,0,0,0,0.03527934350661
1,1,7,0.37860975574148,0.201471482602109,0.106933322338621,0.280095362623118,0,0,0,0.032890076694672
1,1,8,0.3550101266631,0.286062683863266,0.111525242902192,0.203770400039927,0,0,0,0.043631546531515
1,1,9,0.358702484361794,0.268604876622317,0.148322988230077,0.183632329269219,0,0,0,0.040737321516592
1,1,10,0.403483795129883,0.223599776270627,0.157124341872869,0.166752196132437,0,0,0,0.049039890594184
1,1,11,0.438278495160393,0.182387892843397,0.172538494675226,0.155739410412503,0,0,0,0.051055706908481
1,1,12,0.484459931476312,0.16069545820127,0.173982222456682,0.124840800115738,0,0,0,0.056021587749998
1,1,13,0.513312287945948,0.146422295644775,0.193856211221446,0.092870111738076,0,0,0,0.053539093449756
1,1,14,0.569928138451737,0.116643584437545,0.167044328611943,0.088212552011735,0,0,0,0.058171396487041
1,1,15,0.538717862629333,0.133070974366746,0.198602138249332,0.071441066010306,0,0,0,0.058167958744283
1,1,16,0.539669113607131,0.129198891363144,0.204510954051536,0.069451760198694,0,0,0,0.057169280779495
1,1,17,0.574643746216172,0.117263223490225,0.174226239325909,0.075666418593311,0,0,0,0.058200372374383
1,1,18,0.597167881941708,0.112770867489121,0.156315483981805,0.071403237636194,0,0,0,0.062342528951172
1,1,19,0.624756249736763,0.097074142841606,0.152078061553786,0.06530382685764,0,0,0,0.060787719010206
1,1,20,0.611234507953542,0.099668754963903,0.167004779108575,0.058459763734711,0,0,0,0.063632194239269
1,1,21,0.600432349719917,0.103314993493446,0.175188391348435,0.061667426941627,0,0,0,0.059396838496575
1,1,22,0.628810213682898,0.080246114266981,0.165368219550054,0.065140877331026,0,0,0,0.060434575169041
1,1,23,0.630854281134716,0.089609568739787,0.154169607469715,0.065627671271083,0,0,0,0.059738871384699
1,1,24,0.647259726515821,0.080203761548587,0.148899282286968,0.061001797761646,0,0,0,0.062635431886978
1,1,25,0.66157642837175,0.077225749758082,0.139622857908476,0.061795243289293,0,0,0,0.059779720672399
1,1,26,0.67393366318584,0.074407929471712,0.125769598463854,0.059871700311069,0,0,0,0.066017108567525
1,1,27,0.679614424473778,0.064036161882897,0.130463143496979,0.059245348117613,0,0,0,0.066640922028733
1,1,28,0.685964954102166,0.063291055405586,0.127516164334473,0.061341171582427,0,0,0,0.061886654575348
1,1,29,0.691794818586617,0.059101689106742,0.125761201540452,0.060036563579287,0,0,0,0.063305727186901
1,1,30,0.692355783317878,0.057242983565555,0.128228434122163,0.058879718483263,0,0,0,0.063293080511141
1,1,31,0.702367365307304,0.053711114867716,0.122991854321466,0.057081008868593,0,0,0,0.063848656634922
1,1,32,0.726999362436829,0.045934644247892,0.109269000317242,0.053476524661992,0,0,0,0.064320468336045
1,1,33,0.725676261183386,0.045018739792538,0.110167345094872,0.053683113833524,0,0,0,0.06545454009568
1,1,34,0.707251453706294,0.052925051870476,0.126955983711829,0.051489732170502,0,0,0,0.061377778540899
1,1,35,0.724172036807684,0.043976956568116,0.111296201434438,0.055897399102216,0,0,0,0.064657406087546
1,1,36,0.728369157742132,0.042859716438533,0.115124039892413,0.05022571155699,0,0,0,0.063421374369933
1,1,37,0.739245586157379,0.043348203469966,0.106266799430096,0.047710912543788,0,0,0,0.063428498398772
