randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
1,1,1,0.893789599841802,0.099324721617726,0.003498276677605,0.003387401862868,0,0,0,0
2,1,2,0.553586765193244,0.389199436057284,0.038561820425322,0.01865197832415,0,0,0,0
3,1,3,0.520694696339812,0.288856392897133,0.034452874376454,0.155996036386601,0,0,0,0
4,1,4,0.655121626109751,0.150786073214609,0.106723981948123,0.087368318727516,0,0,0,0
5,1,5,0.516821400512848,0.048006528969954,0.272908035494217,0.162264035022981,0,0,0,0
6,1,6,0.498966312067193,0.120207977129779,0.177653617356343,0.203172093446685,0,0,0,0
7,1,7,0.745761967555496,0.117772389830693,0.132665726837021,0.003799915776789,0,0,0,0
8,1,8,0.579765738244306,0.078393588187362,0.005049198365662,0.336791475202671,0,0,0,0
9,1,9,0.496402734833968,0.093796401236109,0,0.409800863929923,0,0,0,0
10,1,10,0.513808116307504,0.070839125858545,0,0.41535275783395,0,0,0,0
11,1,11,0.513386685322918,0.014897564053431,0,0.471715750623651,0,0,0,0
12,1,12,0.492572413763692,0,0,0.507427586236308,0,0,0,0
13,1,13,0.449312202451243,0.083106165922453,0,0.467581631626304,0,0,0,0
14,1,14,0.493590031375164,0.09293992975436,0,0.413470038870476,0,0,0,0
15,1,15,0.537080901424836,0.070910053464378,0,0.392009045110786,0,0,0,0
16,1,16,0.523420745811153,0.056320311632891,0,0.420258942555956,0,0,0,0
17,1,17,0.558669124128394,0.052812970081733,0,0.388517905789874,0,0,0,0
18,1,18,0.546553711673794,0.056326588472446,0,0.39711969985376,0,0,0,0
19,1,19,0.515383329671105,0.041556028172454,0,0.443060642156441,0,0,0,0
20,1,20,0.523359658840231,0.044480784805536,0,0.432159556354233,0,0,0,0
21,1,21,0.534818534601521,0.049328447689014,0,0.415853017709465,0,0,0,0
22,1,22,0.524207742587322,0.039299821950882,0,0.436492435461796,0,0,0,0
23,1,23,0.51872186815145,0.037486382355777,0,0.443791749492773,0,0,0,0
24,1,24,0.547926554837709,0.035957110570708,0,0.416116334591583,0,0,0,0
25,1,25,0.545474769868968,0.035493142011309,0,0.419032088119723,0,0,0,0
26,1,26,0.624163661280843,0.035985984820751,0,0.339850353898406,0,0,0,0
