p_seed,simul_tick,leader.x,leader.y,f1.x,f1.y,f2.x,f2.y,f3.x,f3.y,,f1.x,f1.y
7,1,-8.994993,1.039685,-9.34733,1.168076,-9.429117,0.78981,-9.826446,1.005788,,1.168076,1.168076
7,2,-8.980889,1.003221,-9.31782,1.159842,-9.417748,0.827532,-9.795864,1.010186,,1.159842,1.159842
7,3,-8.955674,1.022186,-9.302853,1.197079,-9.411403,0.859669,-9.766459,1.020513,,1.197079,1.197079
7,4,-8.925398,1.022498,-9.288693,1.233679,-9.385737,0.875646,-9.736256,1.032613,,1.233679,1.233679
7,5,-8.89573,1.015031,-9.273494,1.262283,-9.35573,0.879428,-9.706197,1.035508,,1.262283,1.262283
7,6,-8.865466,1.014563,-9.251591,1.283751,-9.325365,0.87955,-9.675984,1.038582,,1.283751,1.283751
7,7,-8.834865,1.012774,-9.223645,1.294659,-9.295279,0.878068,-9.646753,1.049581,,1.294659,1.294659
7,8,-8.804668,1.012089,-9.194472,1.306292,-9.26526,0.876911,-9.617779,1.058062,,1.306292,1.306292
7,9,-8.773838,1.013427,-9.164552,1.315729,-9.234957,0.879193,-9.593741,1.078771,,1.315729,1.315729
7,10,-8.742615,1.019386,-9.134444,1.317604,-9.204412,0.879934,-9.56774,1.098451,,1.317604,1.317604
7,11,-8.711627,1.016061,-9.104165,1.323638,-9.174392,0.880468,-9.547765,1.122785,,1.323638,1.323638
7,12,-8.681587,1.018029,-9.074278,1.330189,-9.143627,0.891568,-9.520887,1.136402,,1.330189,1.330189
7,13,-8.65049,1.020607,-9.044097,1.331612,-9.11364,0.897579,-9.49664,1.154303,,1.331612,1.331612
7,14,-8.620408,1.02006,-9.013751,1.332716,-9.084112,0.902969,-9.466658,1.152942,,1.332716,1.332716
7,15,-8.590076,1.020952,-8.983766,1.334415,-9.053766,0.904759,-9.439518,1.165849,,1.334415,1.334415
7,16,-8.559863,1.021421,-8.95388,1.337024,-9.023684,0.90651,-9.418346,1.141282,,1.337024,1.337024
7,17,-8.529889,1.019351,-8.922799,1.339585,-8.993693,0.907759,-9.388641,1.136971,,1.339585,1.339585
7,18,-8.49968,1.018004,-8.892735,1.338054,-8.963193,0.90697,-9.35894,1.142325,,1.338054,1.338054
7,19,-8.46946,1.018364,-8.86255,1.337175,-8.933183,0.907361,-9.328834,1.138327,,1.337175,1.337175
7,20,-8.439439,1.018533,-8.832195,1.334888,-8.901956,0.90284,-9.304993,1.157137,,1.334888,1.334888
7,21,-8.408575,1.012697,-8.801552,1.337997,-8.872115,0.908435,-9.275488,1.150752,,1.337997,1.337997
7,22,-8.377607,1.014461,-8.771294,1.337958,-8.841591,0.910019,-9.244793,1.152894,,1.337958,1.337958
7,23,-8.347592,1.009079,-8.740466,1.334469,-8.811615,0.911886,-9.213891,1.15377,,1.334469,1.334469
7,24,-8.316999,1.003539,-8.710455,1.334792,-8.780481,0.913871,-9.18291,1.150014,,1.334792,1.334792
7,25,-8.287044,0.999629,-8.679368,1.337549,-8.750449,0.909537,-9.152675,1.147235,,1.337549,1.337549
7,26,-8.256591,0.995457,-8.649496,1.334771,-8.719575,0.908316,-9.122609,1.144769,,1.334771,1.334771
7,27,-8.225898,0.998058,-8.619534,1.329517,-8.689249,0.908025,-9.092079,1.138034,,1.329517,1.329517
7,28,-8.195581,0.993379,-8.588765,1.323438,-8.657989,0.904478,-9.060914,1.132383,,1.323438,1.323438
7,29,-8.165618,0.990597,-8.558796,1.322021,-8.628023,0.907152,-9.030018,1.137016,,1.322021,1.322021
7,30,-8.134723,0.985433,-8.527845,1.317259,-8.59782,0.905318,-8.998869,1.133773,,1.317259,1.317259
7,31,-8.104763,0.983507,-8.497844,1.316884,-8.567451,0.906949,-8.968606,1.132747,,1.316884,1.316884
7,32,-8.074714,0.982497,-8.467205,1.318341,-8.537454,0.905311,-8.938682,1.134883,,1.318341,1.318341
7,33,-8.044754,0.978527,-8.436956,1.315917,-8.50747,0.903949,-8.908886,1.138401,,1.315917,1.315917
7,34,-8.014774,0.97678,-8.406927,1.316019,-8.477039,0.90576,-8.877782,1.144493,,1.316019,1.316019
7,35,-7.983924,0.970208,-8.376737,1.317129,-8.447015,0.905101,-8.847273,1.147563,,1.317129,1.317129
7,36,-7.954147,0.965876,-8.346734,1.315063,-8.417081,0.902521,-8.816682,1.14273,,1.315063,1.315063
7,37,-7.923898,0.9654,-8.316747,1.314004,-8.386287,0.904297,-8.785903,1.145353,,1.314004,1.314004
7,38,-7.893584,0.956431,-8.286166,1.314894,-8.355311,0.902047,-8.755746,1.1451,,1.314894,1.314894
7,39,-7.863797,0.951575,-8.255771,1.308646,-8.325404,0.899283,-8.725523,1.137994,,1.308646,1.308646
7,40,-7.834381,0.944984,-8.225831,1.303854,-8.29537,0.897643,-8.695008,1.137022,,1.303854,1.303854
7,41,-7.804489,0.934557,-8.195994,1.300678,-8.265338,0.897413,-8.664752,1.134292,,1.300678,1.300678
7,42,-7.774368,0.923405,-8.165825,1.295413,-8.235519,0.892948,-8.633853,1.124114,,1.295413,1.295413
7,43,-7.744299,0.919392,-8.135982,1.292165,-8.205165,0.892382,-8.60382,1.115255,,1.292165,1.292165
7,44,-7.715622,0.910314,-8.104787,1.284377,-8.174701,0.890723,-8.573454,1.113555,,1.284377,1.284377
7,45,-7.686696,0.902335,-8.073615,1.28575,-8.143811,0.884811,-8.542875,1.103537,,1.28575,1.28575
7,46,-7.658512,0.891088,-8.044028,1.280089,-8.113835,0.881378,-8.512544,1.100754,,1.280089,1.280089
7,47,-7.629349,0.883179,-8.013871,1.277522,-8.082947,0.881846,-8.483336,1.092899,,1.277522,1.277522
7,48,-7.600235,0.875132,-7.983209,1.275386,-8.053048,0.87885,-8.452662,1.08127,,1.275386,1.275386
7,49,-7.572269,0.860361,-7.95379,1.266616,-8.022938,0.87568,-8.422979,1.076246,,1.266616,1.266616
7,50,-7.543885,0.850624,-7.923976,1.257999,-7.993067,0.872884,-8.392968,1.071292,,1.257999,1.257999
7,51,-7.515366,0.841168,-7.894224,1.253754,-7.962595,0.869348,-8.363685,1.064641,,1.253754,1.253754
7,52,-7.487379,0.83017,-7.86464,1.248742,-7.932739,0.86518,-8.334639,1.052096,,1.248742,1.248742
7,53,-7.459713,0.816821,-7.834556,1.239346,-7.903182,0.857989,-8.305625,1.044456,,1.239346,1.239346
7,54,-7.431752,0.801664,-7.805114,1.233535,-7.872971,0.854047,-8.276561,1.036973,,1.233535,1.233535
7,55,-7.403225,0.786174,-7.775782,1.226376,-7.843108,0.849352,-8.247281,1.022481,,1.226376,1.226376
7,56,-7.374889,0.771042,-7.746204,1.221321,-7.814015,0.841254,-8.218499,1.013949,,1.221321,1.221321
7,57,-7.346869,0.759599,-7.71694,1.214557,-7.785005,0.82935,-8.189889,1.004455,,1.214557,1.214557
7,58,-7.317838,0.751519,-7.686951,1.209733,-7.756375,0.820146,-8.161252,0.995158,,1.209733,1.209733
7,59,-7.289049,0.742886,-7.657136,1.197605,-7.727316,0.802526,-8.13175,0.989126,,1.197605,1.197605
7,60,-7.259971,0.726008,-7.62812,1.189832,-7.699495,0.7913,-8.102841,0.980003,,1.189832,1.189832
7,61,-7.231504,0.71114,-7.599242,1.178919,-7.672977,0.776815,-8.073761,0.970166,,1.178919,1.178919
7,62,-7.203097,0.697269,-7.570712,1.16963,-7.645864,0.756673,-8.044714,0.96264,,1.16963,1.16963
7,63,-7.174213,0.681558,-7.542255,1.158898,-7.619785,0.739119,-8.014488,0.950872,,1.158898,1.158898
7,64,-7.145676,0.672298,-7.514219,1.147613,-7.593101,0.717047,-7.984854,0.944078,,1.147613,1.147613
7,65,-7.117284,0.65839,-7.485976,1.134854,-7.566701,0.695349,-7.954606,0.941218,,1.134854,1.134854
7,66,-7.088965,0.647856,-7.457354,1.125862,-7.541344,0.675339,-7.925315,0.934471,,1.125862,1.125862
7,67,-7.060556,0.638128,-7.428983,1.111494,-7.516143,0.657199,-7.894496,0.924907,,1.111494,1.111494
7,68,-7.032299,0.626809,-7.399975,1.103455,-7.491379,0.636965,-7.863713,0.923792,,1.103455,1.103455
