"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"114845",2,0.773051849956966,0.222532014773701,0.00172625997072446,0.00268987529860939,0,0,0,0
"114846",4,0.603287120297039,0.312817673865807,0.0380172675713944,0.0458779382657593,0,0,0,0
"114847",6,0.594285696194011,0.289948401537999,0.109947880382694,0.0058180218852952,0,0,0,0
"114848",8,0.523339491167506,0.076597020448625,0.339021542357483,0.0610419460263853,0,0,0,0
"114849",10,0.435435098874816,0.0031474988039363,0.370068393372586,0.191349008948662,0,0,0,0
"114850",12,0.467146238865887,0.0462622005708219,0.243815042659343,0.242776517903948,0,0,0,0
"114851",14,0.732194027979703,0.105273350558337,0.143866791990484,0.0186658294714754,0,0,0,0
"114852",16,0.612130780580897,0.0954752128004679,0.0526004819006975,0.239793524717937,0,0,0,0
"114853",18,0.604920655760218,0.0365361618925582,0.0492508581347855,0.309292324212439,0,0,0,0
"114854",20,0.611196089810159,0.0343977551083928,0.0378107124113379,0.31659544267011,0,0,0,0
"114855",22,0.577554923122986,0.0158031521582153,0.015410674118209,0.391231250600589,0,0,0,0
"114856",24,0.496332668761185,0.014863695114697,0.0180179406582581,0.47078569546586,0,0,0,0
"114857",26,0.528244833068015,0.0101792919341553,0.0194155620819841,0.442160312915846,0,0,0,0
"114858",28,0.52488021710189,0.0225885455664091,0.0101219269801377,0.442409310351564,0,0,0,0
"114859",30,0.606798627421509,0.00193260179349161,0.0542890082409263,0.336979762544073,0,0,0,0
"114860",32,0.747029928199214,0.000927526814756655,0.0662075327330352,0.185835012252994,0,0,0,0
"114861",34,0.725111366196118,0.00443114219843315,0.0648415994150247,0.205615892190424,0,0,0,0
"114862",36,0.72945008407041,0.0165583000108527,0.0962167494353585,0.157774866483378,0,0,0,0
"114863",38,0.785155757806313,0.00975196801221159,0.0335343311368362,0.17155794304464,0,0,0,0
"114864",40,0.794317925195332,0.00892793643574045,0.0454322916957374,0.15132184667319,0,0,0,0
